id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
88205,1779921900000,OffHours,74592.1,74621.7,74578.6,74620.6,52.862,10.494,,,,0.5336,,,,,,,,,75256.9,,50.694,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:45:00
88206,1779921960000,OffHours,74620.5,74627.7,74576.9,74584.6,48.839,-12.349,,,,0.5592,,,,,,,,,75256.7,,50.7016,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:46:00
88207,1779922020000,OffHours,74584.6,74584.7,74520.9,74520.9,92.961,-35.393,,,,1.2111,,,,,,,,,75256.2,,51.6372,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:47:00
88208,1779922080000,OffHours,74520.9,74543.6,74520.9,74533.6,27.615,0.931,,,,0.4358,,,,,,,,,75256,,49.5703,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:48:00
88209,1779922140000,OffHours,74533.6,74533.6,74494.4,74497.4,130.871,-71.235,,,,2.01,,,,,,,,,75255.3,,48.8295,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:49:00
32110,1779922200000,OffHours,74497.4,74524,74465.1,74483.5,204.626,-28.338,,,,0.3115,,,,,,,,,75255.4,,139.74,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:50:00
88210,1779922200000,OffHours,74497.4,74497.5,74477,74497.3,29.966,4.13,,,,0.4619,,,,,,,,,75255.2,,46.806,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:50:00
88211,1779922260000,OffHours,74497.4,74524,74465.1,74465.1,70.294,-36.57,,,,1.1046,,,,,,,,,75254.8,,47.6699,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:51:00
88212,1779922320000,OffHours,74465.1,74507,74465.1,74506,23.457,6.993,,,,0.3866,,,,,,,,,75254.6,,47.2577,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:52:00
88213,1779922380000,OffHours,74506,74519.3,74483.2,74519.3,36.412,-7.824,,,,0.603,,,,,,,,,75254.4,,46.4607,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:53:00
88214,1779922440000,OffHours,74519.3,74519.3,74480.2,74483.5,44.497,4.933,,,,0.7735,,,,,,,,,75254.2,,45.935,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:54:00
32111,1779922500000,OffHours,74483.6,74511.9,74382.1,74390,380.804,-114.364,,,,0.574,,,,,,,,,75253.2,,139.03,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:55:00
88215,1779922500000,OffHours,74483.6,74511.9,74414.4,74414.5,136.191,-102.515,,,,2.2953,,,,,,,,,75253.4,,49.6182,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:55:00
88216,1779922560000,OffHours,74414.4,74456,74400.9,74455.9,57.998,-0.512,,,,0.9878,,,,,,,,,75253.1,,50.0098,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:56:00
88217,1779922620000,OffHours,74455.9,74469.3,74432.7,74455.6,43.814,15.064,,,,0.7555,,,,,,,,,75252.8,,49.0519,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:57:00
88218,1779922680000,OffHours,74455.6,74458,74401,74401.1,50.696,-37.552,,,,0.8787,,,,,,,,,75252.5,,49.6196,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:58:00
88219,1779922740000,OffHours,74401,74401.1,74382.1,74390,92.105,11.151,,,,1.5905,,,,,,,,,75251.9,,47.4325,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:59:00
32112,1779922800000,OffHours,74389.9,74443.7,74326.5,74430.3,469.4,124.428,,,,0.6978,,,,,,,,,75250.3,,137.47,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 23:00:00
88220,1779922800000,OffHours,74389.9,74390.1,74326.5,74390.1,154.554,-31.918,,,,2.6558,,,,,,,,,75251,,48.5873,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 23:00:00
88221,1779922860000,OffHours,74390.1,74400,74371.2,74380.7,86.442,4.086,,,,1.4526,,,,,,,,,75250.4,,47.174,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 23:01:00
