num,fecha,symbol,session,range_bars,range_pct,range_cvd,pre_cvd_flip,cvd_flip_ratio,vr_at_breakout,breakout_delta,close_loc,bear_body,upper_wick,entry_price,stop_price,target_price,rr,result_r,exit_reason,bars_held,exit_price,pnl_usd,balance_after
63,2026-02-27 10:03,SOLUSDT,London,8,0.004408352668213404,18049.600000000006,-7816.519999999999,0.4330577962946545,3.674722198842733,-35301.22,0.323,0.613,0.065,86.02,86.47,85.71000000000001,0.688888888888858,0.689,TARGET,8,85.71,8.35,614.53
64,2026-02-27 10:20,BTCUSDT,London,8,0.003552106019460446,426.4340000000002,-406.86300000000006,0.9541054418737714,6.180410570900637,-153.12599999999998,0.079,0.778,0.144,66727.9,67032.8,66557.2,0.5598556903902663,0.56,TARGET,32,66557.2,6.88,621.41
65,2026-03-01 10:03,SOLUSDT,London,8,0.003644914756025894,4806.360000000007,-11915.429999999997,2.479096447207446,3.6092834197326495,-24647.59999999999,0.179,0.795,0.026,84.74,85.08,84.46,0.823529411764701,-1.0,STOP,9,85.08,-12.43,608.98
66,2026-03-01 12:47,XRPUSDT,LondonNyOverlap,8,0.0036469730123996303,161559.19999999998,-984357.5999999999,6.092860078534679,2.9013052753564725,-388527.99999999994,0.286,0.536,0.179,1.3695,1.375,1.3650000000000002,0.8181818181817595,0.818,TARGET,17,1.365,9.96,618.95
67,2026-03-02 13:39,BNBUSDT,LondonNyOverlap,8,0.0035131059706760798,732.8000000000001,-1450.1499999999999,1.9789164847161569,3.86506422239548,-1165.5100000000002,0.102,0.898,0.0,621.81,624.09,619.7099999999999,0.9210526315789225,0.921,TARGET,24,619.71,11.4,630.35
68,2026-03-03 08:08,BNBUSDT,London,8,0.0015940656565656421,323.7200000000001,-260.97,0.8061596441369083,3.1664640518693883,-597.1500000000001,0.024,0.976,0.0,632.8,634.22,632.2,0.4225352112675199,0.423,TARGET,6,632.2,5.33,635.68
69,2026-03-03 08:25,ETHUSDT,London,8,0.0044291214736894855,395.12699999999813,-12783.727,32.353463569940956,4.053898292750116,-6439.153,0.219,0.781,0.0,1982.1,1991.1,1973.5,0.9555555555555455,0.956,TARGET,13,1973.5,12.15,647.84
70,2026-03-03 11:17,ETHUSDT,London,8,0.003223759620108166,49.29299999999955,-1588.337,32.22236423021554,3.034144599317477,-5871.973,0.338,0.658,0.003,1952.1,1960.14,1947.5399999999997,0.5671641791044856,-1.0,STOP,8,1960.14,-12.96,634.88
71,2026-03-06 09:26,XRPUSDT,London,8,0.00393982808022927,293720.6,-364421.5000000001,1.2407080061800233,2.657810408793915,-71050.59999999998,0.056,0.778,0.167,1.3946,1.4007,1.3897,0.8032786885246116,-0.328,TIME_STOP,30,1.3966,-4.16,630.71
72,2026-03-06 12:06,ETHUSDT,LondonNyOverlap,8,0.0019525148391127773,4283.19,-7464.591000000002,1.742764388224665,2.6035537227402967,-310.28099999999995,0.284,0.494,0.222,2047.04,2051.6,2043.6,0.7543859649123017,0.754,TARGET,1,2043.6,9.51,640.23
73,2026-03-07 10:16,ETHUSDT,London,8,0.001071660369194599,1724.901,-794.4629999999997,0.4605846944259408,3.7183564946391283,-3253.506,0.0,0.995,0.005,1985.4,1987.99,1983.7299999999998,0.6447876447877811,0.645,TARGET,4,1983.73,8.26,648.48
74,2026-03-08 08:14,BTCUSDT,London,8,0.001105570052128352,62.91700000000001,-58.216999999999985,0.9252984090150512,3.4998590696840575,-47.774,0.086,0.643,0.271,67212.2,67307.6,67158.79999999999,0.5597484276729963,0.56,TARGET,2,67158.8,7.26,655.75
75,2026-03-12 09:15,SOLUSDT,London,8,0.0021030494216613227,2852.950000000001,-7970.039999999999,2.793613627999087,3.232380246284453,-8789.119999999999,0.231,0.538,0.231,85.53,85.72,85.36000000000001,0.8947368421052081,-1.0,STOP,22,85.72,-13.11,642.63
76,2026-03-13 14:44,XRPUSDT,LondonNyOverlap,8,0.004732739420935354,324984.10000000003,-279272.79999999993,0.8593429647788919,2.7343868984058326,-976020.4999999998,0.077,0.692,0.231,1.4342,1.4433,1.4297000000000002,0.49450549450545855,0.495,TARGET,2,1.4297,6.36,648.99
77,2026-03-14 09:32,XRPUSDT,London,8,0.0010036561760700178,75396.69999999995,-325850.60000000003,4.3218151457557195,3.510652431293548,-65853.39999999997,0.278,0.722,0.0,1.3937,1.3955,1.3926999999999998,0.5555555555556104,0.556,TARGET,3,1.3927,7.22,656.21
78,2026-03-15 11:22,BNBUSDT,London,8,0.001328602702498672,186.92999999999995,-278.18,1.488150644626331,3.7868949029226546,-355.72999999999996,0.143,0.857,0.0,661.99,662.91,661.15,0.9130434782609448,0.913,TARGET,13,661.15,11.98,668.19
79,2026-03-15 13:34,BNBUSDT,LondonNyOverlap,8,0.002004038441101083,219.57999999999987,-999.76,4.553055833864653,2.777411963872758,-1020.89,0.299,0.533,0.168,658.1,659.6,656.9599999999999,0.7600000000000667,0.76,TARGET,5,656.96,10.16,678.35
80,2026-03-16 14:41,BTCUSDT,LondonNyOverlap,8,0.005645991550811193,6.352999999999952,-2559.919,402.9464819770218,3.9075514697461995,-842.375,0.166,0.774,0.059,72981.5,73504.2,72677.2,0.5821695044958956,-1.0,STOP,16,73504.2,-13.57,664.78
81,2026-03-17 13:50,XRPUSDT,LondonNyOverlap,8,0.005657614483493046,719616.5,-9677205.7,13.447726254192336,2.5282070699125705,-1913127.2,0.21,0.71,0.081,1.498,1.5097,1.4927000000000001,0.4529914529914394,-1.0,STOP,9,1.5097,-13.3,651.49
82,2026-03-18 13:55,BTCUSDT,LondonNyOverlap,8,0.0036164609989362555,83.22599999999996,-57.905,0.6957561339004642,3.3669573918403466,-325.56100000000004,0.076,0.686,0.239,72041.1,72348.9,71827.30000000002,0.6946068875893322,0.695,TARGET,18,71827.3,9.06,660.54
83,2026-03-18 14:13,ETHUSDT,LondonNyOverlap,8,0.003805236580588466,3482.3080000000004,-1631.7620000000006,0.4685863513508858,2.818502156976662,-7988.2040000000015,0.018,0.769,0.212,2221.29,2232.88,2215.9399999999996,0.4616048317515355,0.462,TARGET,15,2215.94,6.1,666.65
84,2026-03-19 13:02,SOLUSDT,LondonNyOverlap,8,0.004659090909090871,7346.7099999999955,-61368.850000000006,8.353242471800309,4.113761516885626,-42183.86,0.062,0.906,0.031,87.72,88.3,87.48,0.41379310344826825,-1.0,STOP,18,88.3,-13.33,653.31
85,2026-03-19 13:12,BNBUSDT,LondonNyOverlap,8,0.0025713792941250042,448.0100000000002,-640.3599999999999,1.4293430950201995,2.9907164805436177,-1113.12,0.277,0.639,0.084,637.25,639.34,636.0600000000001,0.569377990430585,0.569,TARGET,1,636.06,7.43,660.75
86,2026-03-19 14:37,ETHUSDT,LondonNyOverlap,8,0.0042322475461968245,6554.182000000001,-6575.0419999999995,1.0031827007550291,4.768079643129105,-14021.095000000001,0.136,0.775,0.089,2103.19,2115.33,2097.4700000000003,0.47116968698516143,-1.0,STOP,5,2115.33,-13.21,647.53
87,2026-03-20 13:04,XRPUSDT,LondonNyOverlap,8,0.0020094235033258747,115085.4,-48879.8,0.42472633366178514,4.208512306172375,-739507.3999999999,0.073,0.878,0.049,1.4396,1.4435,1.4377000000000002,0.4871794871794317,-1.0,STOP,1,1.4435,-12.95,634.58
88,2026-03-23 08:49,XRPUSDT,London,8,0.0027690738176783685,67234.0,-359658.20000000007,5.349350031234198,8.446784571403319,-1312214.4000000001,0.048,0.952,0.0,1.3704,1.3757,1.3680999999999999,0.4339622641509908,0.434,TARGET,6,1.3681,5.51,640.09
89,2026-03-23 15:53,XRPUSDT,LondonNyOverlap,8,0.005678277127622731,344345.3999999999,-234243.10000000015,0.680256219481951,2.5101442460625423,-993427.1000000001,0.275,0.725,0.0,1.4391,1.4494,1.433,0.5922330097087387,0.592,TARGET,2,1.433,7.58,647.67
90,2026-03-24 13:19,ETHUSDT,LondonNyOverlap,8,0.0035740511800408997,1817.7019999999995,-3920.1279999999997,2.1566395371738607,5.216650516167561,-8573.306,0.144,0.801,0.055,2147.96,2158.74,2143.3600000000006,0.42671614100181476,-1.0,STOP,14,2158.74,-12.95,634.72
